name	taxid	sp_number	accession_file
Petromyzon_marinus	7757	001	GCF_010993605.1_kPetMar1.pri_cds_from_genomic.fna.gz
Leucoraja_erinacea	7782	002	GCA_000238235.1_LER_WGS_1_cds_from_genomic.fna.gz
Callorhinchus_milii	7868	003	GCF_000165045.1_Callorhinchus_milii-6.1.3_cds_from_genomic.fna.gz
Latimeria_chalumnae	7897	004	GCF_000225785.1_LatCha1_cds_from_genomic.fna.gz
Lepisosteus_oculatus	7918	005	GCF_000242695.1_LepOcu1_cds_from_genomic.fna.gz
Clupea_harengus	7950	006	GCF_900700415.1_Ch_v2.0.2_cds_from_genomic.fna.gz
Danio_rerio	7955	007	GCF_000002035.6_GRCz11_cds_from_genomic.fna.gz
Carassius_auratus	7957	008	GCF_003368295.1_ASM336829v1_cds_from_genomic.fna.gz
Cyprinus_carpio	7962	009	GCF_000951615.1_common_carp_genome_cds_from_genomic.fna.gz
Astyanax_mexicanus	7994	010	GCF_000372685.2_Astyanax_mexicanus-2.0_cds_from_genomic.fna.gz
Ictalurus_punctatus	7998	011	GCF_001660625.1_IpCoco_1.2_cds_from_genomic.fna.gz
Electrophorus_electricus	8005	012	GCF_003665695.1_Ee_SOAP_WITH_SSPACE_cds_from_genomic.fna.gz
Esox_lucius	8010	013	GCF_004634155.1_Eluc_v4_cds_from_genomic.fna.gz
Oncorhynchus_kisutch	8019	014	GCF_002021735.2_Okis_V2_cds_from_genomic.fna.gz
Oncorhynchus_mykiss	8022	015	GCF_002163495.1_Omyk_1.0_cds_from_genomic.fna.gz
Oncorhynchus_nerka	8023	016	GCF_006149115.1_Oner_1.0_cds_from_genomic.fna.gz
Salmo_salar	8030	017	GCF_000233375.1_ICSASG_v2_cds_from_genomic.fna.gz
Salmo_trutta	8032	018	GCF_901001165.1_fSalTru1.1_cds_from_genomic.fna.gz
Salvelinus_alpinus	8036	019	GCF_002910315.2_ASM291031v2_cds_from_genomic.fna.gz
Gadus_morhua	8049	020	GCF_902167405.1_gadMor3.0_cds_from_genomic.fna.gz
Fundulus_heteroclitus	8078	021	GCF_000826765.1_Fundulus_heteroclitus-3.0.2_cds_from_genomic.fna.gz
Poecilia_reticulata	8081	022	GCF_000633615.1_Guppy_female_1.0_MT_cds_from_genomic.fna.gz
Xiphophorus_maculatus	8083	023	GCF_002775205.1_X_maculatus-5.0-male_cds_from_genomic.fna.gz
Xiphophorus_hellerii	8084	024	GCF_003331165.1_Xiphophorus_hellerii-4.1_cds_from_genomic.fna.gz
Oryzias_latipes	8090	025	GCF_002234675.1_ASM223467v1_cds_from_genomic.fna.gz
Oreochromis_niloticus	8128	026	GCF_001858045.2_O_niloticus_UMD_NMBU_cds_from_genomic.fna.gz
Haplochromis_burtoni	8153	027	GCF_000239415.1_AstBur1.0_cds_from_genomic.fna.gz
Astatotilapia_calliptera	8154	028	GCF_900246225.1_fAstCal1.2_cds_from_genomic.fna.gz
Perca_flavescens	8167	029	GCF_004354835.1_PFLA_1.0_cds_from_genomic.fna.gz
Perca_fluviatilis	8168	030	GCA_010015445.1_GENO_Pfluv_1.0_cds_from_genomic.fna.gz
Sparus_aurata	8175	031	GCF_900880675.1_fSpaAur1.1_cds_from_genomic.fna.gz
