OG_id,SimuID,ali_len,num_invar_sites,num_var_sites,mean_alphabet_size,median_alphabet_size,max_ld,mean_ld,median_ld,var_ld,dim_ur,dim_CI_ur,dim_R^2_ur,dim_range_end_ur,dim_range_start_ur,n_seq_from_dim_log10,n_seq_from_dim_log20,n_seq_from_dim_log_alpha,log10_nseq_ci,log20_nseq_ci,n_seq_bin_expected_from_dn/ds_log20,n_seq_bin_expected_from_usage_log20,n_seq_expected_from_dn/ds_log20,n_seq_expected_from_usage_log20,n_seq_diff_dnds_log10,n_seq_diff_dnds_log20,n_seq_diff_usage_log10,n_seq_diff_usage_log20,dnds_mean,dnds_median,dnds_var,dn_mean,dn_median,dn_var,ds_mean,ds_median,ds_var,filt_length,frac_NA,frac_SE_high,frac_dS<0.1,frac_dS>0.8,orig_length,dnds_from_usage,dnds_from_usage_cons,nodes,branch_length_distr,fraction_allowed_subs,gamma,mode,replicate,run,suffix,tree_len_scale,dnds_mean_tree,dnds_median_tree,dnds_var_tree,nonsyn_subs_count,syn_subs_count,total_treelength,integral_b0,norm_integral_b0
ali_tree_0.05_exp_0_continuousF.longleaves.run1_f0.390_fnum0_0,SimuOG1731,300,22,278.0,6.06,6.0,0.74333,0.5775279982162765,0.59,0.0051805989636361,7.304,0.508,0.989,0.9,0.4,17.152004495066958,13.183404342890206,22.041993104310617,1.1929378810917326,0.9169180457541382,175.14559729999547,172.76365965000718,181.6104506753631,179.43120135055315,210.71767120071155,161.96219295710526,207.6186988702754,159.58025530711697,0.3066,0.3022,0.0036,0.1645,0.1693,0.0032,0.5476,0.5778,0.0322,774.0,0.0,0.0,0.0001,0.9827,44850.0,0.2663157894736842,0.7228571428571428,leaves,exp,0.39,0.0,tree,0,longleaves,continuousF.longleaves.run1,0.05,0.32424,0.32247,0.00059,20506,17680,38186,72.8901,111.747
ali_tree_0.05_exp_1_continuousF.longleaves.run1_f0.656_fnum0_0,SimuOG4491,300,0,300.0,13.19,13.0,0.90667,0.7564955636566332,0.77667,0.0076720024403166,7.561,0.682,0.982,1.0,0.5,18.40778755580898,14.148626562921446,16.524886582148692,1.6603770814788685,1.276201999194872,244.58633872527702,255.4291738875094,246.48031526818357,256.86033896666663,299.80637565540724,230.43771216235558,313.91322943951167,241.28054732458796,0.586,0.5769,0.0131,0.3278,0.3261,0.0137,0.5638,0.5983,0.0298,1967.0,0.0,0.0,0.0003,0.9558,44850.0,0.641578947368421,1.741428571428571,leaves,exp,0.656,1.0,tree,0,longleaves,continuousF.longleaves.run1,0.05,0.63154,0.63152,0.00243,27275,12613,39888,97.4333,117.126
ali_tree_0.05_exp_10_continuousF.longleaves.run1_f0.264_fnum0_0,SimuOG3501,300,0,300.0,11.427,11.0,0.81,0.5798297221850612,0.59,0.0088712487297466,5.687,0.295,0.994,0.85,0.35,13.566942877953602,10.427847876812177,13.02769173560336,0.7037538507115021,0.5409205422295748,125.9720223920771,237.92475683757166,135.8282744476739,240.1311319406014,150.3264368685934,115.54417451526491,295.9803024787861,227.4969089607595,0.1941,0.1894,0.0019,0.1004,0.0988,0.0013,0.5297,0.547,0.0323,365.0,0.0,0.0,0.0,0.9918,44850.0,0.5487894736842105,1.4895714285714283,leaves,exp,0.264,10.0,tree,0,longleaves,continuousF.longleaves.run1,0.05,0.22404,0.22403,0.00026,17082,22432,39514,62.3,89.2714
ali_tree_0.05_exp_100_continuousF.longleaves.run1_f0.375_fnum0_0,SimuOG2610,300,0,300.0,14.553,14.5,0.92333,0.7106412673355631,0.72667,0.0097127878312768,6.539,0.441,0.99,0.9,0.4,15.97136495772202,12.275939072081906,13.752199928865096,1.077132886734273,0.8279078040660837,181.1471243723797,266.7955802546256,187.10735641264878,267.7958247170782,219.7064774790178,168.87118530029778,331.13768766412284,254.51964118254367,0.3239,0.3129,0.0048,0.1784,0.1772,0.005,0.5514,0.5902,0.0324,718.0,0.0,0.0,0.0,0.9839,44850.0,0.7133157894736842,1.9361428571428567,leaves,exp,0.375,100.0,tree,0,longleaves,continuousF.longleaves.run1,0.05,0.32704,0.3262,0.00055,19843,17306,37149,78.2334,98.1776
ali_tree_0.05_exp_0_continuousF.longleaves.run1_f0.285_fnum1_0,SimuOG1695,300,39,261.0,4.047,4.0,0.62,0.4667428457079152,0.47667,0.0037059897493356,7.036,0.413,0.992,0.85,0.35,15.96829307551726,12.27357795649272,26.522760697478056,0.9373088459619995,0.720436000004476,126.18347820157443,129.06212674426303,136.03443501499598,138.8269278958555,148.2001970219432,113.90990024508172,151.94540512295546,116.78854878777031,0.1945,0.189,0.0018,0.1072,0.1098,0.0012,0.5641,0.6097,0.0314,437.0,0.0,0.0,0.0,0.9903,44850.0,0.1603684210526315,0.4352857142857142,leaves,exp,0.285,0.0,tree,1,longleaves,continuousF.longleaves.run1,0.05,0.22764,0.22756,0.00032,16755,21068,37823,60.4533,111.476
ali_tree_0.05_exp_1_continuousF.longleaves.run1_f0.612_fnum1_0,SimuOG4479,300,0,300.0,12.36,12.5,0.92333,0.7391867522853958,0.75333,0.0074646103313163,7.745,0.506,0.99,0.9,0.4,18.916993668383093,14.540013475038133,17.245711538822604,1.2358939698130207,0.9499350314227626,238.05863321769715,251.3329759381814,240.25850494250287,252.93268026036128,290.8044288746107,223.518619742659,308.07474692668455,236.79296246314325,0.5507,0.5351,0.0139,0.3162,0.3203,0.0141,0.5781,0.6245,0.0314,1647.0,0.0,0.0,0.0002,0.9631,44850.0,0.5978947368421053,1.6228571428571428,leaves,exp,0.612,1.0,tree,1,longleaves,continuousF.longleaves.run1,0.05,0.59837,0.59769,0.00219,27025,13354,40379,97.3201,116.516
ali_tree_0.05_exp_10_continuousF.longleaves.run1_f0.179_fnum1_0,SimuOG3462,300,0,300.0,9.793,10.0,0.73667,0.4813724390189521,0.48667,0.0087326501502496,4.952,0.22,0.995,0.75,0.25,11.60944027060726,8.923268725009201,11.60944027060726,0.5157667325390948,0.3964295475569516,79.010139351925,227.86315831677518,83.75728592598273,230.5865360520723,91.18512098783829,70.08687062691581,284.8473636062478,218.939889591766,0.1154,0.1122,0.0008,0.0636,0.0644,0.0004,0.5642,0.5945,0.0241,178.0,0.0,0.0,0.0,0.996,44850.0,0.4627894736842105,1.256142857142857,leaves,exp,0.179,10.0,tree,1,longleaves,continuousF.longleaves.run1,0.05,0.13002,0.1305,8e-05,14040,29036,43076,50.54,88.4643
ali_tree_0.05_exp_100_continuousF.longleaves.run1_f0.219_fnum1_0,SimuOG2598,300,0,300.0,12.623,13.0,0.88333,0.6064345380156075,0.62333,0.0139790038628289,4.663,0.121,0.998,0.8,0.3,11.299587868208882,8.685109417821018,10.1437724322416,0.2932125524454803,0.22536955598463287,105.24119359468625,255.4291738875094,114.71277503793752,256.86033896666663,125.62236177795798,96.55608417686523,321.0214291271118,246.74406446968837,0.1572,0.1538,0.0015,0.084,0.0799,0.0011,0.5377,0.5595,0.0291,285.0,0.0,0.0,0.0,0.9936,44850.0,0.6117368421052631,1.6604285714285714,leaves,exp,0.219,100.0,tree,1,longleaves,continuousF.longleaves.run1,0.05,0.17766,0.17681,0.00022,14786,23540,38326,58.9867,79.7978
ali_tree_0.05_exp_0_continuousF.longleaves.run1_f0.679_fnum2_0,SimuOG1788,300,1,299.0,11.4,12.0,0.9,0.7361854445930879,0.75333,0.0065310715542382,8.057,0.606,0.987,0.95,0.45,19.589497847828962,15.05691483910135,18.152185204823756,1.4734064410803462,1.1324922914850957,247.86102409545873,247.06112417897032,249.60949604086406,248.8446652984809,302.88512925635564,232.80410925635738,301.8444354714751,232.00420933986896,0.6046,0.5967,0.0114,0.3503,0.3553,0.0137,0.584,0.6277,0.03,2178.0,0.0,0.0,0.0002,0.9513,44850.0,0.5473684210526316,1.4857142857142858,leaves,exp,0.679,0.0,tree,2,longleaves,continuousF.longleaves.run1,0.05,0.62013,0.62076,0.00194,26902,12473,39375,97.83,121.543
ali_tree_0.05_exp_1_continuousF.longleaves.run1_f0.460_fnum2_0,SimuOG4431,300,0,300.0,9.097,9.0,0.81667,0.6384950372352286,0.65,0.0060479806413687,7.39,0.511,0.989,0.9,0.4,17.65595046316684,13.570748193362073,18.502582193221276,1.2208647749226327,0.9383832647913424,199.69784318120458,216.6658136988669,204.20452083528548,220.0354748052508,242.15693358498214,186.1270949878425,264.23277219400296,203.09506550550483,0.3842,0.376,0.0067,0.2104,0.2135,0.0068,0.5535,0.6025,0.0342,984.0,0.0,0.0,0.0001,0.9779,44850.0,0.426157894736842,1.1567142857142856,leaves,exp,0.46,1.0,tree,2,longleaves,continuousF.longleaves.run1,0.05,0.42154,0.41979,0.00096,22455,15175,37630,82.1667,112.732
