fraction_allowed_subs,nseq,rep,sample,dist,dist_var,dim,dim_ci
0.070,100,0,0,0.17902965454545453,0.0002840915415170248,19.542554149727994,1.8541125049402178
0.070,1000,0,0,0.17885298062062058,0.00027394852697576054,21.989435301528122,2.9239062083144938
0.070,10000,0,0,0.1788874270817085,0.0002746782982213082,22.74142279720041,2.3056296694611094
0.070,100,1,0,0.17827936363636362,0.0002770428836152433,18.94550901309535,2.2508220201196028
0.070,1000,1,0,0.17829602768768762,0.0002735527577800943,22.1677482248789,2.3869964959321903
0.070,10000,1,0,0.17833188300430064,0.00027451771482010247,23.04324184838302,2.0022393532824645
0.070,100,2,0,0.17490035757575756,0.0002711441596095133,20.429069447118355,1.7777905152543212
0.070,1000,2,0,0.1755528867067067,0.00026825031029094825,21.239240189077023,2.120594418978875
0.070,10000,2,0,0.17555208058465857,0.00026825863167292144,23.770303458947282,2.2970672195081203
0.070,100,3,0,0.1836908808080808,0.0002947650920322579,19.592173586951112,2.332669861082062
0.070,1000,3,0,0.1838902385185186,0.0002904850860027686,21.13886466491375,1.7530702522174217
0.070,10000,3,0,0.183890323250926,0.0002900067966637678,23.504051402777993,2.3412243062760085
0.070,100,4,0,0.18227751515151513,0.0002859462296235078,18.450648299769714,2.2472545516783646
0.070,1000,4,0,0.1824025916316316,0.0002863342051008628,21.43545912084519,1.6780324612493345
0.070,10000,4,0,0.18239247531513217,0.00028688394943001604,23.023264422528097,2.369120086703122
0.070,100,5,0,0.18354883838383837,0.0002723878006506479,17.615192255434547,1.5882225639438767
0.070,1000,5,0,0.18332739529529526,0.0002865110542951931,21.423490331961542,1.7839347861254435
0.070,10000,5,0,0.1833332865146513,0.0002871050175047202,24.58974675022561,2.3243715078445635
0.070,100,6,0,0.1859312808080808,0.0002986980658342781,19.858432494582704,2.077997140369297
0.070,1000,6,0,0.1860370804604605,0.000296554462926339,21.622041680679562,2.1807255292966707
0.070,10000,6,0,0.18600018806800728,0.00029626462476338715,25.431018196546464,2.57206751427524
0.070,100,7,0,0.17612252323232322,0.00026537381001713703,19.59526391465967,1.7233796814196711
0.070,1000,7,0,0.17613726328328325,0.0002693507838843555,21.20207318438243,2.1609825461576055
0.070,10000,7,0,0.17611340042584242,0.0002684258945505463,23.289614906089145,2.2919727039291775
0.070,100,8,0,0.17536904444444446,0.00026596931538994383,20.36322846799648,2.992011965248596
0.070,1000,8,0,0.1758676666066066,0.0002685650155356557,21.381776741555456,1.8300734622711188
0.070,10000,8,0,0.17583456148494891,0.0002682314000095045,22.99061476313942,2.3576075903226443
0.070,100,9,0,0.1809138787878788,0.000289172285318641,19.56271381639114,2.1536436981145783
0.070,1000,9,0,0.180809308028028,0.00028120871022788163,22.252479774015246,1.3012580303292058
0.070,10000,9,0,0.18083188219941992,0.0002808787334453603,23.984291912103963,2.1103635873663458
0.126,100,0,0,0.48763166868686864,0.0005666127784680092,37.15507536082041,5.226063140216165
0.126,1000,0,0,0.48747087893893903,0.0005728289455503892,45.00065815172275,3.6566331677413637
0.126,10000,0,0,0.4874430666960697,0.000573827250524601,50.03504586456912,5.42387401547894
0.126,100,1,0,0.4806154787878788,0.0005733592629525801,39.36381397578059,5.841225686781512
0.126,1000,1,0,0.48037755157157164,0.0005693705322264194,44.72569509881911,5.327309062228742
0.126,10000,1,0,0.4803785068278825,0.0005682287172530862,52.33424210239497,5.465005705674201
0.126,100,2,0,0.500010793939394,0.0006346045327231956,34.33121623840274,2.9750477543801064
0.126,1000,2,0,0.5004755757757757,0.0006079419012939075,42.86585853173591,5.097632592848575
0.126,10000,2,0,0.5005615807248713,0.0006087607257185657,47.41739787435313,5.410199440328381
0.126,100,3,0,0.4919677474747475,0.0005899965878756249,43.49372836658638,6.017064370304664
0.126,1000,3,0,0.49222549889889866,0.0005912393025945434,40.52402126411604,4.962145308099775
0.126,10000,3,0,0.4922186171745177,0.0005903215714830291,50.889173522003986,6.1155269701459725
0.126,100,4,0,0.4907938626262626,0.0005714038502114314,38.04781844673324,4.292874798831471
0.126,1000,4,0,0.4904548714114115,0.0005858214110995809,44.10617093862847,5.4227679191873195
0.126,10000,4,0,0.49050368030523056,0.0005859896951554487,51.067947452412426,5.725584848547159
0.126,100,5,0,0.4931097797979797,0.0006032532411838343,38.01720686765382,3.9589070804679167
0.126,1000,5,0,0.49278039631631626,0.0005965736977152056,43.80883522929526,5.82923162023332
0.126,10000,5,0,0.4927686359719984,0.0005955842224533213,51.3145941496079,5.968464759327132
0.126,100,6,0,0.49546864444444444,0.0005877337018998428,37.2476369743481,3.7153451315585
0.126,1000,6,0,0.4957493786786787,0.0005992022696966421,44.58153799527909,4.486800361779303
0.126,10000,6,0,0.49572345590598993,0.0005988555978252599,51.15764738728953,5.059719952441027
0.126,100,7,0,0.4964383555555555,0.0005752442673968125,36.6236498828919,6.588158493569044
0.126,1000,7,0,0.4962107732532533,0.0005978719470505279,44.276181509756974,4.192419500617434
0.126,10000,7,0,0.49619114088088956,0.0005991978267723653,51.37503819337241,5.20244395328424
0.126,100,8,0,0.4851912383838384,0.0005601049864462033,39.05838669987214,4.289718996991942
0.126,1000,8,0,0.48566701269269275,0.0005748730263724915,44.068946152986626,4.888924224922394
0.126,10000,8,0,0.48566132687608715,0.0005743094202709225,51.45422248885265,6.328126516137012
0.126,100,9,0,0.5032282787878788,0.0006097387756636914,36.4004639729542,4.390590391358281
0.126,1000,9,0,0.5025097748948949,0.0006096458849947731,46.2268565081291,5.6904703145267135
0.126,10000,9,0,0.5024441676975715,0.0006089036139764793,49.397212703009686,5.655759017579054
