gembase_name	#assembly_accession	refseq_category	taxid	species_taxid	organism_name	tax_id	genus_from_sp	order	family	order_id	family_id	lineage
GAMA.0123.00008	GCF_002291425.1	representative genome	929813	929813	Gibbsiella quercinecans	929813	Gibbsiella	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 929812, 929813]
GAMA.0123.00010	GCF_000364725.1	representative genome	1234603	1048758	Candidatus Moranella endobia PCVAL	1234603	Moranella	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 1048757, 1048758, 1234603]
GAMA.0123.00020	GCF_000828815.1	representative genome	1410383	1410383	Candidatus Tachikawaea gelatinosa	1410383	Tachikawaea	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 1682492, 1410383]
GAMA.0123.00025	GCF_003403135.1	representative genome	204039	204039	Dickeya dianthicola	204039	Dickeya	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 204037, 204039]
GAMA.0123.00027	GCF_900638065.1	na	133448	133448	Citrobacter youngae	133448	Citrobacter	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 544, 1344959, 133448]
GAMA.0123.00030	GCF_020541265.1	representative genome	1987921	1987921	Candidatus Profftia lariciata	1987921	Profftia	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 1177214, 1987921]
GAMA.0123.00035	GCF_900095885.1	representative genome	1401087	1401087	Dickeya aquatica	1401087	Dickeya	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 204037, 1401087]
GAMA.0123.00038	GCF_013488025.1	representative genome	554	554	Pectobacterium carotovorum	554	Pectobacterium	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 122277, 554]
GAMA.0123.00052	GCF_002393505.1	representative genome	126385	126385	Providencia alcalifaciens	126385	Providencia	Enterobacterales	Morganellaceae	91347	1903414	[1, 131567, 2, 1224, 1236, 91347, 1903414, 586, 126385]
GAMA.0123.00059	GCF_017309605.1	representative genome	300181	300181	Serratia ureilytica	300181	Serratia	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 613, 300181]
GAMA.0123.00070	GCF_001461805.1	representative genome	1334193	1334193	[Enterobacter] lignolyticus	1334193	Enterobacter	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 1330546, 1334193]
GAMA.0123.00073	GCF_000196155.1	representative genome	243265	2218628	Photorhabdus laumondii subsp. laumondii TTO1	243265	Photorhabdus	Enterobacterales	Morganellaceae	91347	1903414	[1, 131567, 2, 1224, 1236, 91347, 1903414, 29487, 2218628, 141679, 243265]
GAMA.0123.00080	GCF_013282725.1	representative genome	349967	33060	Yersinia mollaretii ATCC 43969	349967	Yersinia	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 629, 33060, 349967]
GAMA.0123.00084	GCF_003515985.1	representative genome	1082704	1082704	Lonsdalea britannica	1082704	Lonsdalea	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 1082702, 1082704]
GAMA.0123.00085	GCF_015689195.1	representative genome	1201031	1201031	Pectobacterium aroidearum	1201031	Pectobacterium	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 122277, 1201031]
GAMA.0123.00089	GCF_001683395.1	representative genome	1158459	1158459	Kosakonia sacchari	1158459	Kosakonia	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 1330547, 1158459]
GAMA.0123.00093	GCF_017743015.1	representative genome	290110	290110	Xenorhabdus budapestensis	290110	Xenorhabdus	Enterobacterales	Morganellaceae	91347	1903414	[1, 131567, 2, 1224, 1236, 91347, 1903414, 626, 290110]
GAMA.0123.00094	GCF_002887555.1	representative genome	204042	204042	Dickeya zeae	204042	Dickeya	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 204037, 204042]
GAMA.0123.00096	GCF_002291445.1	representative genome	1109412	1109412	Brenneria goodwinii	1109412	Brenneria	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 71655, 1109412]
GAMA.0123.00099	GCF_000517405.1	representative genome	2342	1486991	Candidatus Sodalis pierantonius str. SOPE	2342	Sodalis	Enterobacterales	Bruguierivoracaceae	91347	2812006	[1, 131567, 2, 1224, 1236, 91347, 2812006, 84565, 1486991, 2342]
GAMA.0123.00102	GCF_009831415.1	representative genome	2607663	2607663	Yersinia canariae	2607663	Yersinia	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 629, 2607663]
GAMA.0123.00103	GCF_900475855.1	representative genome	333962	333962	Providencia heimbachae	333962	Providencia	Enterobacterales	Morganellaceae	91347	1903414	[1, 131567, 2, 1224, 1236, 91347, 1903414, 586, 333962]
GAMA.0123.00104	GCF_022637515.1	representative genome	82989	82989	Buttiauxella ferragutiae	82989	Buttiauxella	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 82976, 82989]
GAMA.0123.00112	GCF_001721185.1	representative genome	351679	351679	Xenorhabdus hominickii	351679	Xenorhabdus	Enterobacterales	Morganellaceae	91347	1903414	[1, 131567, 2, 1224, 1236, 91347, 1903414, 626, 351679]
GAMA.0123.00117	GCF_001006005.1	representative genome	47917	47917	Serratia fonticola	47917	Serratia	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 613, 47917]
GAMA.0123.00120	GCF_900478135.1	representative genome	158841	158841	Leminorella richardii	158841	Leminorella	Enterobacterales	Budviciaceae	91347	1903416	[1, 131567, 2, 1224, 1236, 91347, 1903416, 82980, 158841]
GAMA.0123.00121	GCF_011068345.1	representative genome	565	565	Atlantibacter hermannii	565	Atlantibacter	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 1903434, 565]
GAMA.0123.00127	GCF_000968175.1	representative genome	1354304	40577	Xenorhabdus poinarii G6	1354304	Xenorhabdus	Enterobacterales	Morganellaceae	91347	1903414	[1, 131567, 2, 1224, 1236, 91347, 1903414, 626, 40577, 1354304]
GAMA.0123.00131	GCF_020181655.1	representative genome	2878098	2878098	Pectobacterium colocasium	2878098	Pectobacterium	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 122277, 2878098]
GAMA.0123.00136	GCF_009873295.1	representative genome	180957	180957	Pectobacterium brasiliense	180957	Pectobacterium	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 122277, 180957]
GAMA.0123.00137	GCF_000185985.2	representative genome	859654	251535	Candidatus Blochmanniella vafra str. BVAF	859654	Blochmanniella	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 84564, 203804, 251535, 859654]
GAMA.0123.00144	GCF_019090985.1	representative genome	171438	171438	Photorhabdus akhurstii	171438	Photorhabdus	Enterobacterales	Morganellaceae	91347	1903414	[1, 131567, 2, 1224, 1236, 91347, 1903414, 29487, 171438]
GAMA.0123.00147	GCF_003096015.2	representative genome	2172103	2172103	Limnobaculum parvum	2172103	Limnobaculum	Enterobacterales	Budviciaceae	91347	1903416	[1, 131567, 2, 1224, 1236, 91347, 1903416, 2172100, 2172103]
GAMA.0123.00148	GCF_017569925.1	representative genome	2722756	2722756	Brenneria izadpanahii	2722756	Brenneria	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 71655, 2722756]
GAMA.0123.00150	GCF_001642805.2	representative genome	2741499	2741499	Serratia surfactantfaciens	2741499	Serratia	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 613, 2741499]
GAMA.0123.00152	GCF_002288545.1	representative genome	2042057	2042057	Pectobacterium polaris	2042057	Pectobacterium	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 122277, 2042057]
GAMA.0123.00155	GCF_009648935.1	representative genome	57706	57706	Citrobacter braakii	57706	Citrobacter	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 544, 1344959, 57706]
GAMA.0123.00175	GCF_023585745.1	representative genome	251538	251538	Candidatus Blochmannia ocreatus	251538	Blochmannia	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 84564, 203804, 251538]
GAMA.0123.00178	GCF_007858975.2	representative genome	568768	568768	Dickeya poaceiphila	568768	Dickeya	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 204037, 568768]
GAMA.0123.00184	GCF_002953195.1	representative genome	665914	665914	Mixta gaviniae	665914	Mixta	Enterobacterales	Erwiniaceae	91347	1903409	[1, 131567, 2, 1224, 1236, 91347, 1903409, 2100764, 665914]
GAMA.0123.00188	GCF_000331065.1	representative genome	1240471	251542	Candidatus Blochmanniella chromaiodes str. 640	1240471	Blochmanniella	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 191675, 84563, 84564, 203804, 251542, 1240471]
GAMA.0123.00196	GCF_004116975.1	representative genome	183417	183417	Proteus hauseri	183417	Proteus	Enterobacterales	Morganellaceae	91347	1903414	[1, 131567, 2, 1224, 1236, 91347, 1903414, 583, 183417]
GAMA.0123.00199	GCF_001742185.1	representative genome	1175631	55208	Pectobacterium wasabiae CFBP 3304	1175631	Pectobacterium	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 122277, 55208, 1175631]
GAMA.0123.00205	GCF_004768745.1	representative genome	458197	458197	Serratia nematodiphila	458197	Serratia	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 613, 458197]
GAMA.0123.00209	GCF_013374815.1	representative genome	624	624	Shigella sonnei	624	Shigella	Enterobacterales	Enterobacteriaceae	91347	543	[1, 131567, 2, 1224, 1236, 91347, 543, 620, 624]
GAMA.0123.00212	GCF_015999465.1	representative genome	1172565	1172565	Lonsdalea populi	1172565	Lonsdalea	Enterobacterales	Pectobacteriaceae	91347	1903410	[1, 131567, 2, 1224, 1236, 91347, 1903410, 1082702, 1172565]
GAMA.0123.00215	GCF_000214235.1	representative genome	768492	82996	Serratia plymuthica AS9	768492	Serratia	Enterobacterales	Yersiniaceae	91347	1903411	[1, 131567, 2, 1224, 1236, 91347, 1903411, 613, 82996, 768492]
