OG_id,num_of_seq_aa_unique,mean_seq_len_orig,median_seq_len_orig,max_ld,mean_ld,median_ld,var_ld,dim_ur,dim_CI_ur,dim_R^2_ur,dim_range_end_ur,dim_range_start_ur,n_seq_from_dim_log10,n_seq_from_dim_log20,log10_nseq_ci,log20_nseq_ci
COG0007,1477,370.2312373225152,326.0,0.96829,0.7439274748859205,0.76749,0.0105686414304983,7.323,0.514,0.989,0.9,0.4,18.30181037153197,14.067170190178155,1.284600646042255,0.9873720439371257
COG0009,1891,249.1928156365557,209.0,0.9821,0.7624850289900085,0.79104,0.011014013668288,5.946,0.268,0.995,0.9,0.4,13.748947675075726,10.56774072918968,0.6196969352371838,0.4763125656614252
COG0019,1981,423.6415951539626,418.0,0.97481,0.742518186351144,0.76392,0.0088639873081946,6.292,0.483,0.987,0.9,0.4,16.422725652071325,12.62286473548212,1.2606764923633902,0.9689834181878362
COG0025,1331,537.2213053263316,536.0,0.97507,0.8000263365099449,0.81788,0.005235218704332,8.614,0.963,0.972,1.0,0.5,23.414579833924467,17.99695619006449,2.6176271627663406,2.0119652671270143
COG0031,2651,342.14361100640787,321.0,0.98943,0.6721340200508173,0.68786,0.0142487666661604,5.2,0.126,0.999,0.75,0.25,13.00982855459613,9.999637670118865,0.3152381534382908,0.24229891277595708
COG0037,2032,369.0422812192724,345.0,0.98619,0.8111112479840039,0.83367,0.0075045412557202,7.285,0.997,0.958,1.0,0.5,18.444015038225796,14.176471795189384,2.524184350461375,1.9401430857657946
COG0040,1115,260.3163082437276,281.0,0.9794,0.7120377740940816,0.75251,0.0131191360169807,5.064,0.398,0.986,0.9,0.4,12.35447074878998,9.495915382400442,0.9709872349957371,0.7463219435614883
COG0042,1890,335.65277044854884,333.0,0.97816,0.7160758588822506,0.74555,0.010267328499393,5.826,0.321,0.993,0.85,0.35,14.639888177137372,11.252537009852643,0.8066261765981971,0.6199904531690179
COG0044,1924,440.6845114345114,440.0,0.98173,0.7291150040542171,0.74286,0.0065640333290329,7.285,0.743,0.977,0.9,0.4,19.19921492350338,14.756934880432985,1.9581354410656158,1.5050655615870565
COG0048,1225,128.6926790024135,124.0,0.90821,0.3559022940776309,0.29771,0.0334672203916467,2.941,0.25,0.984,0.5,0.0,6.033779023966374,4.637694014800198,0.5129019911566112,0.39422764491671186
COG0049,1292,160.40800615858353,156.0,0.96465,0.5064376394208054,0.47436,0.0231414596376016,3.807,0.373,0.978,0.65,0.15,8.28972105514201,6.371660209810418,0.8122053988883556,0.6242787649748585
COG0050,1364,391.9842744817727,396.0,0.98604,0.3082234986757261,0.28894,0.0185189247065113,3.103,0.353,0.971,0.5,0.0,8.0417028978918,6.1810280506159385,0.9148311707882066,0.7031591691483808
COG0059,1128,358.63741134751774,339.0,0.96056,0.5435347830964022,0.48225,0.0285070715777111,3.838,0.362,0.98,0.65,0.15,9.643835463590818,7.412462046018456,0.9096061588900146,0.6991431111669311
COG0061,1439,290.82940360610263,291.0,0.97829,0.7433135347139731,0.75646,0.0064194543428149,7.222,0.786,0.973,0.9,0.4,17.725392276394935,13.624122683926878,1.9291274341244002,1.4827693754592255
COG0066,1369,202.98246895544196,200.0,0.95745,0.6551938522484076,0.68807,0.016232134817475,4.644,0.28,0.992,0.85,0.35,10.598286484450128,8.14607389512283,0.639000907761851,0.4911500195164498
COG0069,1625,1075.6566153846154,1485.0,0.98953,0.759256771837817,0.8657,0.0305016117142281,4.787,0.504,0.975,0.75,0.25,15.1611729911596,11.65320787505909,1.596246331218809,1.22690970733858
COG0070,1119,1304.064343163539,1510.0,0.99011,0.6714889083499993,0.57824,0.0398447545482109,5.095,0.433,0.984,0.7,0.2,16.174894708207095,12.432376472574893,1.3746279506680419,1.0565689916830088
COG0079,2440,369.6831967213115,362.0,0.98366,0.7461892710563985,0.75,0.0047641702904526,8.405,1.096,0.962,0.9,0.4,21.44580785613739,16.483715154616792,2.7965027257973327,2.14945292200595
COG0080,1300,145.08174178762414,143.0,0.9678,0.4697973197726061,0.44056,0.0193781477613151,3.786,0.305,0.985,0.6,0.1,8.106286586729807,6.230668480931341,0.6530421048474884,0.5019423895097884
COG0086,1452,1246.052920962199,1388.0,0.98,0.6411071583101232,0.59377,0.0359117995071213,3.757,0.149,0.996,0.65,0.15,11.772993590585171,9.048979370054276,0.46690871572988835,0.35887621137558884
COG0087,1296,229.3172043010753,214.0,0.97598,0.596594727310644,0.57604,0.0174412570909347,4.683,0.384,0.985,0.7,0.2,10.863879520049158,8.350214488717281,0.8908242015158823,0.6847068895296682
COG0104,1281,425.2684824902724,430.0,0.98491,0.5671702803351872,0.55581,0.012201889569426,4.882,0.421,0.983,0.7,0.2,12.824354942375411,9.857078610882061,1.1059101660671955,0.8500266479273553
COG0106,1128,247.0814880425155,245.0,0.98349,0.6359714032421481,0.65145,0.0106647292603727,4.966,0.568,0.971,0.85,0.35,11.828694338844212,9.091792178709479,1.3529396666257574,1.0398989040489293
COG0109,917,317.0533188248096,305.0,0.9488,0.6804111611815634,0.69608,0.0085314070661234,6.123,0.464,0.987,0.85,0.35,15.071608457591976,11.58436662323083,1.1421241751302755,0.8778615242820684
COG0117,1060,358.3075471698113,366.0,0.94216,0.660087267357956,0.65594,0.0076544348776259,8.023,0.782,0.979,0.85,0.35,20.35921091171518,15.64853306961985,1.9844076944984759,1.5252589879649412
COG0124,1404,434.1807829181495,428.0,0.97847,0.6994908745403118,0.73866,0.0114096978914592,5.816,0.246,0.996,0.8,0.3,15.249501305962939,11.72109894221182,0.6450098557886662,0.49576862788585063
COG0126,1319,399.6086298258895,397.0,0.96943,0.5736359208302606,0.57457,0.0097343354551395,5.147,0.365,0.989,0.75,0.25,13.306574933637688,10.227723402216158,0.9436370411458628,0.7252999886941709
